#TYPE Microsoft.Azure.Commands.Resources.Models.Authorization.PSRoleDefinition
"Name","Id","IsCustom","Description","Actions","NotActions","DataActions","NotDataActions","AssignableScopes"
"Scheduler Job Collections Contributor","188a0f2f-5c9e-469b-ae67-2aa5ce574b94","False","Lets you manage Scheduler job collections, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Search Service Contributor","7ca78c08-252a-4471-8644-bb5ff32d4ba0","False","Lets you manage Search services, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Security Admin","fb1c8493-542b-48eb-b624-b4c8fea62acd","False","Security Admin Role","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Security Manager (Legacy)","e3d13bf0-dd5a-482e-ba6b-9b8433878d10","False","This is a legacy role. Please use Security Administrator instead","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Security Reader","39bc4728-0917-49c7-9d2c-d95423bc2eb4","False","Security Reader Role","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Site Recovery Contributor","6670b86e-a3f7-4917-ac9b-5d6ab1be4567","False","Lets you manage Site Recovery service except vault creation and role assignment","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Site Recovery Operator","494ae006-db33-4328-bf46-533a6560a3ca","False","Lets you failover and failback but not perform other Site Recovery management operations","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"Site Recovery Reader","dbaa88c4-0c30-4179-9fb3-46319faa6149","False","Lets you view Site Recovery status but not perform other management operations","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"SQL DB Contributor","9b7fa17d-e63e-47b0-bb0a-15c516ac86ec","False","Lets you manage SQL databases, but not access to them. Also, you can't manage their security-related policies or their parent SQL servers.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
"SQL Security Manager","056cd41c-7e88-42e1-933e-88ba6a50c9c3","False","Lets you manage the security-related policies of SQL servers and databases, but not access to them.","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]","System.Collections.Generic.List`1[System.String]"
